               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11787,             0.03608,                   0,           0.0035088,             0.32258,           0.0023548,          0.00045038,            0.099598,            0.034845,                   0,              0.0838,              0.0018,              0.0018
                   1,             0.09735,            0.038089,                   0,           0.0077193,             0.70968,            0.016431,           0.0045627,            0.086464,            0.035196,                   0,            0.066627,           0.0036267,           0.0036267
                   2,            0.088515,            0.035244,                   0,            0.033732,             0.85484,             0.15419,            0.047184,            0.079976,            0.032024,                   0,            0.049378,           0.0053782,           0.0053782
                   3,            0.084496,            0.031639,                   0,             0.30313,             0.34677,             0.26313,            0.069994,            0.076521,            0.029013,                   0,            0.032054,           0.0070545,           0.0070545
                   4,            0.081179,            0.029164,                   0,             0.40755,             0.41935,             0.34883,             0.13175,            0.073465,            0.029542,                   0,            0.014656,           0.0086555,           0.0086555
                   5,            0.078981,            0.028869,                   0,             0.21876,             0.34677,             0.15395,            0.040994,            0.080933,            0.029213,                   0,             0.00901,             0.00901,             0.00901
                   6,            0.081133,            0.025867,                   0,              0.1699,             0.37965,             0.14719,            0.042779,            0.080397,            0.026004,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.075316,            0.026189,                   0,             0.27622,             0.37903,             0.27392,            0.096945,            0.073088,            0.026085,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.071843,            0.026619,                   0,             0.44519,             0.45968,             0.42629,             0.17373,            0.065673,            0.025553,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.068972,            0.029581,                   0,             0.33273,             0.53226,             0.30608,             0.11409,            0.070962,            0.025984,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.069208,            0.024341,                   0,             0.39462,             0.55645,             0.45572,             0.15193,            0.068303,            0.024499,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.068944,            0.024174,                   0,              0.4989,             0.58065,             0.52383,             0.18425,            0.057857,            0.024409,                   0,             0.00802,             0.00802,             0.00802
                  12,             0.06663,            0.022967,                   0,             0.45796,              0.6371,             0.44145,             0.15784,            0.059394,            0.024723,                   0,            0.007822,            0.007822,            0.007822
                  13,             0.06115,            0.026851,                   0,             0.36879,             0.54032,             0.40393,             0.14088,             0.06386,            0.024542,                   0,            0.007624,            0.007624,            0.007624
